"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)"
        "81","nm0000148","Thu Nov 15 11:57:58 2012","Wed Jul 23 16:31:31 2014","Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.3 Stars
Role Transformation - 4.4 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 4

Greatest Performances: 

""Witness"" - Level of Difficulty - 4.6 Stars
""Star Wars"" - Level of Difficulty - 4.3 Stars
""The Fugitive"" - Level of Difficulty - 4.4 Stars","Harrison Ford","Actor, <a href=""http://www.imdb.com/title/tt0076759"">Star Wars: Episode IV - A New Hope</a>","1942-07-13"


        "82","nm0000095","Tue May 31 16:38:05 2016","Tue Jun 21 19:53:41 2016","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 4 (Directing/Writing/Producing)
Oscar Nominations: 24 (1 for Acting)
BAFTA Awards: 9 (Directing/Writing/Producing)
BAFTA Nominations: 23 (2 for Acting)
Golden Globes: 2 (Writing)
Golden Globe Nominations: 13 (1 for Acting)

Greatest Performances:

""Annie Hall"" - Level of Difficulty - 4.6 Stars 
""Manhattan"" - Level of Difficulty - 4.5 Stars
""Take the Money and Run"" - Level of Difficulty - 4.3 Stars","Woody Allen","Writer, <a href=""http://www.imdb.com/title/tt0075686"">Annie Hall</a>","1935-12-01"


        "83","nm0000015","Thu Nov 15 12:03:40 2012","Sat Mar 14 15:44:25 2015","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Giant"" - Level of Difficulty - 4.5 Stars
""East of Eden"" - Level of Difficulty - 4.6 Stars
""Rebel Without a Cause"" - Level of Difficulty - 4.5 Stars","James Dean","Actor, <a href=""http://www.imdb.com/title/tt0048545"">Rebel Without a Cause</a>","1931-02-08"


        "84","nm0001452","Tue May 31 16:42:08 2016","Tue Jun 21 20:15:12 2016","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 1

Greatest Performances:

""Mutiny on the Bounty"" - Level of Difficulty - 4.6 Stars
""Witness for the Prosecution"" - Level of Difficulty - 4.7 Stars
""The Private Life of Henry VIII"" - Level of Difficulty - 4.8 Stars","Charles Laughton","Actor, <a href=""http://www.imdb.com/title/tt0054331"">Spartacus</a>","1899-07-01"


        "85","nm0000080","Mon Jul  8 19:02:16 2013","Tue Jul 16 10:11:29 2013","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1 (For Acting)
BAFTA Awards: 0
BAFTA Nominations: 1 (For Acting)
Golden Globes: 1 (For Acting)
Golden Globe Nominations: 3 (For Acting)

Greatest Performances: 

""Butterfly"" - Level of Difficulty - 4.6 Stars
""Citizen Kane"" - Level of Difficulty - 4.7 Stars
""Chimes at Midnight"" - Level of Difficulty - 4.6 Stars","Orson Welles","Actor, <a href=""http://www.imdb.com/title/tt0033467"">Citizen Kane</a>","1915-05-06"


        "86","nm0000602","Thu Nov 15 12:03:49 2012","Tue Jul 16 14:03:45 2013","Acting Abilities: 

Acting Skill - 4.4 Stars 
Overall Versatility - 4.2 Stars
Role Transformation - 4.3 Stars

Awards & Nominations:

Oscars: 1 (Directing)
Oscar Nominations: 4 (3 for Directing)
BAFTA Awards: 3
BAFTA Nominations: 4 (1 for Directing)
Golden Globes: 2 (1 for Directing)
Golden Globe Nominations: 5 (4 for Directing)

Greatest Performances: 

""The String"" - Level of Difficulty - 4.4 Stars
""Downhill Racer"" - Level of Difficulty - 4.4 Stars
""Tell Them Willie Boy Is Here"" - Level of Difficulty - 4.2 Stars","Robert Redford","Actor, <a href=""http://www.imdb.com/title/tt0070735"">The Sting</a>","1936-08-18"


        "87","nm0000537","Thu Nov 15 11:53:43 2012","Tue Jul 16 13:49:08 2013","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 4

Greatest Performances: 

""Papillon"" - Level of Difficulty - 4.7 Stars
""The Sand Pebbles"" - Level of Difficulty - 4.5 Stars
""Love with the Proper Stranger"" - Level of Difficulty - 4.2 Stars","Steve McQueen","Actor, <a href=""http://www.imdb.com/title/tt0057115"">The Great Escape</a>","1930-03-24"


        "88","nm0000032","Wed Jul 24 07:05:40 2013","Wed Jul 24 07:08:34 2013","Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 3

Greatest Performances: 

""Ben-Hur"" - Level of Difficulty - 4.7 Stars
""The Ten Commandments"" - Level of Difficulty - 4.5 Stars
""The Pigeon That Took Rome"" - Level of Difficulty - 4.4 Stars","Charlton Heston","Actor, <a href=""http://www.imdb.com/title/tt0052618"">Ben-Hur</a>","1923-10-04"


        "89","nm0000037","Wed Oct 30 12:23:48 2013","Sun Jul 19 17:14:02 2015","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 2

Greatest Performances: 

""Hello, Dolly!"" - Level of Difficulty - 4.6 Stars
""Anchors Aweigh"" - Level of Difficulty - 4.6 Stars
""An American in Paris"" - Level of Difficulty - 4.7 Stars","Gene Kelly","Actor, <a href=""http://www.imdb.com/title/tt0045152"">Singin' in the Rain</a>","1912-08-23"


        "90","nm0000053","Tue May 20 12:26:23 2014","Sun May 17 22:22:53 2015","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Story of G.I. Joe"" - Level of Difficulty - 4.6 Stars
""The Longest Day"" - Level of Difficulty - 4.4 Stars
""Heaven Knows, Mr. Allison"" - Level of Difficulty - 4.5 Stars","Robert Mitchum","Actor, <a href=""http://www.imdb.com/title/tt0048424"">The Night of the Hunter</a>","1917-08-06"


        "91","nm0000018","Thu Nov 15 11:45:52 2012","Tue Jul  2 13:53:40 2013","Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""Champion"" - Level of Difficulty - 4.5 Stars
""Lust for Life"" - Level of Difficulty - 4.7 Stars
""The Bad and the Beautiful"" - Level of Difficulty - 4.5 Stars","Kirk Douglas","Actor, <a href=""http://www.imdb.com/title/tt0054331"">Spartacus</a>","1916-12-09"


        "92","nm0000195","Sat Nov 17 14:21:39 2012","Tue Feb 17 18:17:38 2015","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 4

Greatest Performances: 

""Rushmore"" - Level of Difficulty - 4.5 Stars
""Lost in Translation"" - Level of Difficulty - 4.6 Stars
""Hyde Park on Hudson"" - Level of Difficulty - 4.6 Stars","Bill Murray","Actor, <a href=""http://www.imdb.com/title/tt0107048"">Groundhog Day</a>","1950-09-21"


        "93","nm0000120","Tue Feb 17 18:10:31 2015","Tue Feb 17 18:17:30 2015","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

AMC Awards: 0
AMC Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 2
Golden Globe Nominations: 6

Greatest Performances: 

""Man on the Moon"" - Level of Difficulty - 4.8 Stars
""The Truman Show"" - Level of Difficulty - 4.8 Stars
""Eternal Sunshine of the Spotless Mind"" - Level of Difficulty - 4.9 Stars","Jim Carrey","Actor, <a href=""http://www.imdb.com/title/tt0338013"">Eternal Sunshine of the Spotless Mind</a>","1962-01-17"


        "94","nm0413168","Sat Dec 13 11:20:26 2014","Sat Dec 13 11:23:54 2014","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""The Fountain"" - Level of Difficulty - 4.8 Stars
""Les Miserables"" - Level of Difficulty - 4.9 Stars
""Kate & Leopold"" - Level of Difficulty - 4.7 Stars","Hugh Jackman","Actor, <a href=""http://www.imdb.com/title/tt0482571"">The Prestige</a>","1968-10-12"


        "95","nm0000230","Wed Jun 22 23:33:32 2016","Fri Jul 22 15:03:56 2016","Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 3 (1 for Writing)
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""Creed"" - Level of Difficulty - 4.6 Stars
""Rocky"" - Level of Difficulty - 4.7 Stars
""Rocky IV"" - Level of Difficulty - 4.5 Stars","Sylvester Stallone","Actor, <a href=""http://www.imdb.com/title/tt0075148"">Rocky</a>","1946-07-06"


        "96","nm0000614","Wed Jun 22 23:30:34 2016","Thu Jul 21 07:05:35 2016","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 0
BAFTA Awards: 1
BAFTA Nominations: 4
Golden Globes: 0
Golden Globe Nominations: 1

Greatest Performances: 

""Michael Collins"" - Level of Difficulty - 4.6 Stars
""Truly Madly Deeply"" - Level of Difficulty - 4.6 Stars
""Robin Hood: Prince of Thieves"" - Level of Difficulty - 4.7 Stars","Alan Rickman","Actor, <a href=""http://www.imdb.com/title/tt1201607"">Harry Potter and the Deathly Hallows: Part 2</a>","1946-02-21"


        "97","nm0000064","Tue May 31 16:33:22 2016","Tue Jun 21 19:46:43 2016","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.2 Stars
Role Transformation - 4.4 Stars

Awards & Nominations:

Oscars: 1 (Hon.)
Oscar Nominations: 1 (Hon.)
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances:

""Little Caesar"" - Level of Difficulty - 4.6 Stars 
""Scarlett Street"" - Level of Difficulty - 4.3 Stars
""Double Indemnity"" - Level of Difficulty - 4.5 Stars","Edward G. Robinson","Actor, <a href=""http://www.imdb.com/title/tt0036775"">Double Indemnity</a>","1893-12-12"


        "98","nm0000640","Wed Jun 22 23:33:21 2016","Fri Jul 22 15:04:09 2016","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 0
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 8

Greatest Performances: 

""Kennedy"" - Level of Difficulty - 4.6 Stars
""Apocalypse Now"" - Level of Difficulty - 4.7 Stars
""The Subject Wad Roses"" - Level of Difficulty - 4.7 Stars","Martin Sheen","Actor, <a href=""http://www.imdb.com/title/tt0078788"">Apocalypse Now</a>","1940-08-03"


        "99","nm0000592","Wed Jun 22 23:30:16 2016","Thu Jul 21 07:00:49 2016","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 4
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""The Town"" - Level of Difficulty - 4.7 Stars
""The Usual Suspects"" - Level of Difficulty - 4.6 Stars
""In the Name of the Father"" - Level of Difficulty - 4.9 Stars","Pete Postlethwaite","Actor, <a href=""http://www.imdb.com/title/tt1375666"">Inception</a>","1946-02-07"


        "100","nm0000422","Wed Jun 22 23:29:22 2016","Thu Jul 21 07:09:32 2016","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 0
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Flight"" - Level of Difficulty - 4.5 Stars
""Barton Fink"" - Level of Difficulty - 4.7 Stars
""The Big Lebowski"" - Level of Difficulty - 4.6 Stars","John Goodman","Actor, <a href=""http://www.imdb.com/title/tt0198781"">Monsters, Inc.</a>","1952-06-20"
